,Algoritmo,tempoExecucao,Tamanho Vetor
0,Bubble Sort com melhorias,9.96999442577362e-05,1000
1,Bubble Sort com melhorias,0.00020810007117688656,3000
2,Bubble Sort com melhorias,0.00030019995756447315,6000
3,Bubble Sort com melhorias,0.00045499997213482857,10000
4,Bubble Sort com melhorias,0.0006955000571906567,15000
5,Bubble Sort com melhorias,0.001099900109693408,21000
6,Bubble Sort com melhorias,0.0014866997953504324,28000
7,Bubble Sort com melhorias,0.003240399993956089,36000
8,Bubble Sort com melhorias,0.0029612001962959766,45000
9,Bubble Sort com melhorias,0.003652299987152219,55000
