,Algoritmo,tempoExecucao,Tamanho Vetor
0,Bubble Sort com melhorias,0.0001308000646531582,1000
1,Bubble Sort com melhorias,0.0001808998640626669,3000
2,Bubble Sort com melhorias,0.0003174000885337591,6000
3,Bubble Sort com melhorias,0.0006943999323993921,10000
4,Bubble Sort com melhorias,0.0008324000518769026,15000
5,Bubble Sort com melhorias,0.0015588998794555664,21000
6,Bubble Sort com melhorias,0.0015406000893563032,28000
7,Bubble Sort com melhorias,0.002156600123271346,36000
8,Bubble Sort com melhorias,0.0022603000979870558,45000
9,Bubble Sort com melhorias,0.0027175999712198973,55000
