,Algoritmo,tempoExecucao,Tamanho Vetor
0,Heap Sort,0.0019765000033658,1000
1,Heap Sort,0.005728899996029213,3000
2,Heap Sort,0.018510399997467175,6000
3,Heap Sort,0.030258300015702844,10000
4,Heap Sort,0.04614190000575036,15000
5,Heap Sort,0.06927869998617098,21000
6,Heap Sort,0.08968869998352602,28000
7,Heap Sort,0.12633339999592863,36000
8,Heap Sort,0.16245259999413975,45000
9,Heap Sort,0.18781199998920783,55000
10,Heap Sort,0.252227800025139,66000
11,Heap Sort,0.3069921999995131,78000
12,Heap Sort,0.34549190002144314,91000
13,Heap Sort,0.4242106000019703,105000
14,Heap Sort,0.527388799993787,120000
