,Algoritmo,tempoExecucao,Tamanho Vetor
0,Merge Sort,0.04009100000257604,5000
1,Merge Sort,0.03405919999931939,10000
2,Merge Sort,0.0504341000050772,15000
3,Merge Sort,0.0627573000092525,20000
4,Merge Sort,0.0770145999849774,25000
5,Merge Sort,0.09835039998870343,30000
6,Merge Sort,0.10939040000084788,35000
7,Merge Sort,0.1344634999986738,40000
8,Merge Sort,0.14434200001414865,45000
9,Merge Sort,0.18027989999973215,55000
10,Merge Sort,0.2347412999952212,66000
11,Merge Sort,0.28893959999550134,78000
12,Merge Sort,0.33912340001552366,91000
13,Merge Sort,0.39063390000956133,105000
14,Merge Sort,0.452939199982211,120000
15,Merge Sort,0.5152716000156943,136000
16,Merge Sort,0.5886019000026863,153000
17,Merge Sort,0.6332986000052188,171000
18,Merge Sort,0.7167570999881718,190000
19,Merge Sort,0.7339030999864917,210000
20,Merge Sort,0.9000788000121247,231000
21,Merge Sort,1.035001399985049,253000
22,Merge Sort,1.166461499989964,276000
23,Merge Sort,1.2838203999854159,300000
24,Merge Sort,1.4489312999940012,325000
25,Merge Sort,1.4020397000131197,351000
26,Merge Sort,1.5931664000090677,378000
27,Merge Sort,1.7230209999834187,406000
28,Merge Sort,1.8428193000145257,435000
29,Merge Sort,2.051901099999668,465000
30,Merge Sort,2.083111199986888,496000
31,Merge Sort,2.1700042999873403,528000
32,Merge Sort,2.439454100007424,561000
33,Merge Sort,2.475884599989513,595000
34,Merge Sort,2.7100138000096194,630000
35,Merge Sort,2.912390699988464,666000
36,Merge Sort,3.012821999989683,703000
37,Merge Sort,3.3078890000178944,741000
38,Merge Sort,3.6027826000063214,780000
39,Merge Sort,3.842279200005578,820000
40,Merge Sort,3.8376451000222005,861000
41,Merge Sort,4.130867899977602,903000
42,Merge Sort,4.360880399995949,946000
43,Merge Sort,4.592597499984549,990000
44,Merge Sort,4.723603699996602,1035000
45,Merge Sort,5.074716900009662,1081000
46,Merge Sort,5.474392000003718,1128000
47,Merge Sort,5.721129999990808,1176000
48,Merge Sort,5.799688500002958,1225000
49,Merge Sort,6.21444270000211,1275000
