,Algoritmo,tempoExecucao,Tamanho Vetor
0,Shell Sort Teorema 1,0.022109200000045348,1000
1,Shell Sort Teorema 1,0.20783249999999498,3000
2,Shell Sort Teorema 1,0.9422797000000855,6000
3,Shell Sort Teorema 1,2.773460200000045,10000
4,Shell Sort Teorema 1,6.053538200000048,15000
5,Shell Sort Teorema 1,10.74938450000002,21000
6,Shell Sort Teorema 1,21.318451900000014,28000
7,Shell Sort Teorema 1,31.072106400000052,36000
8,Shell Sort Teorema 1,49.72593419999998,45000
9,Shell Sort Teorema 1,72.59481270000003,55000
