,Algoritmo,tempoExecucao,Tamanho Vetor
0,Shell Sort,0.0229127999919001,1000
1,Shell Sort,2.800021320581436e-06,3000
2,Shell Sort,2.3999891709536314e-06,6000
3,Shell Sort,1.700012944638729e-06,10000
4,Shell Sort,9.700015652924776e-06,15000
5,Shell Sort,2.7999922167509794e-06,21000
6,Shell Sort,3.1999952625483274e-06,28000
7,Shell Sort,1.2200005585327744e-05,36000
8,Shell Sort,4.5000051613897085e-06,45000
9,Shell Sort,3.700028173625469e-06,55000
10,Shell Sort,2.8999929782003164e-06,66000
11,Shell Sort,3.4999975468963385e-06,78000
12,Shell Sort,3.2999960239976645e-06,91000
13,Shell Sort,2.7999922167509794e-06,105000
14,Shell Sort,2.8999929782003164e-06,120000
15,Shell Sort,3.9000005926936865e-06,136000
16,Shell Sort,2.6999914553016424e-06,153000
17,Shell Sort,2.800021320581436e-06,171000
18,Shell Sort,3.1999952625483274e-06,190000
19,Shell Sort,3.6999990697950125e-06,210000
20,Shell Sort,2.2000021999701858e-05,231000
21,Shell Sort,3.6999990697950125e-06,253000
22,Shell Sort,3.3999967854470015e-06,276000
23,Shell Sort,3.6999990697950125e-06,300000
24,Shell Sort,3.6999990697950125e-06,325000
25,Shell Sort,3.9000005926936865e-06,351000
26,Shell Sort,4.1000021155923605e-06,378000
27,Shell Sort,3.5999983083456755e-06,406000
28,Shell Sort,4.7000066842883825e-06,435000
29,Shell Sort,3.2999960239976645e-06,465000
30,Shell Sort,8.500006515532732e-06,496000
31,Shell Sort,3.6999990697950125e-06,528000
32,Shell Sort,4.199973773211241e-06,561000
33,Shell Sort,4.399975296109915e-06,595000
34,Shell Sort,3.4999975468963385e-06,630000
35,Shell Sort,3.4999975468963385e-06,666000
36,Shell Sort,1.170000177808106e-05,703000
37,Shell Sort,9.000010322779417e-06,741000
38,Shell Sort,3.7999998312443495e-06,780000
39,Shell Sort,4.1000021155923605e-06,820000
40,Shell Sort,3.7999998312443495e-06,861000
41,Shell Sort,4.5000051613897085e-06,903000
42,Shell Sort,3.5999983083456755e-06,946000
43,Shell Sort,3.3999967854470015e-06,990000
44,Shell Sort,4.7000066842883825e-06,1035000
45,Shell Sort,3.4999975468963385e-06,1081000
46,Shell Sort,4.1000021155923605e-06,1128000
47,Shell Sort,3.9000005926936865e-06,1176000
48,Shell Sort,3.6999990697950125e-06,1225000
49,Shell Sort,4.799978341907263e-06,1275000
50,Shell Sort,3.4999975468963385e-06,1326000
51,Shell Sort,3.6999990697950125e-06,1378000
52,Shell Sort,3.3999967854470015e-06,1431000
53,Shell Sort,4.0000013541430235e-06,1485000
54,Shell Sort,3.3999967854470015e-06,1540000
55,Shell Sort,3.5999983083456755e-06,1596000
56,Shell Sort,4.299974534660578e-06,1653000
57,Shell Sort,4.2000028770416975e-06,1711000
58,Shell Sort,3.5999983083456755e-06,1770000
59,Shell Sort,3.1999952625483274e-06,1830000
60,Shell Sort,3.6999990697950125e-06,1891000
61,Shell Sort,4.2000028770416975e-06,1953000
62,Shell Sort,3.7999998312443495e-06,2016000
63,Shell Sort,3.7999998312443495e-06,2080000
64,Shell Sort,3.3999967854470015e-06,2145000
65,Shell Sort,4.0000013541430235e-06,2211000
66,Shell Sort,3.7999998312443495e-06,2278000
67,Shell Sort,4.3000036384910345e-06,2346000
68,Shell Sort,3.6999990697950125e-06,2415000
69,Shell Sort,3.7999998312443495e-06,2485000
70,Shell Sort,4.7000066842883825e-06,2556000
71,Shell Sort,4.099973011761904e-06,2628000
72,Shell Sort,4.0000013541430235e-06,2701000
73,Shell Sort,3.4999975468963385e-06,2775000
74,Shell Sort,4.1000021155923605e-06,2850000
75,Shell Sort,4.3000036384910345e-06,2926000
76,Shell Sort,3.5999983083456755e-06,3003000
77,Shell Sort,4.0000013541430235e-06,3081000
78,Shell Sort,4.599976819008589e-06,3160000
79,Shell Sort,4.4000043999403715e-06,3240000
80,Shell Sort,3.9000005926936865e-06,3321000
81,Shell Sort,4.1000021155923605e-06,3403000
82,Shell Sort,3.5999983083456755e-06,3486000
83,Shell Sort,3.4999975468963385e-06,3570000
84,Shell Sort,4.7000066842883825e-06,3655000
85,Shell Sort,4.1000021155923605e-06,3741000
86,Shell Sort,4.299974534660578e-06,3828000
87,Shell Sort,3.6999990697950125e-06,3916000
88,Shell Sort,3.9000005926936865e-06,4005000
89,Shell Sort,4.6000059228390455e-06,4095000
90,Shell Sort,5.0000089686363935e-06,4186000
91,Shell Sort,4.2000028770416975e-06,4278000
92,Shell Sort,3.4999975468963385e-06,4371000
93,Shell Sort,3.7999998312443495e-06,4465000
94,Shell Sort,3.7999998312443495e-06,4560000
95,Shell Sort,4.1000021155923605e-06,4656000
96,Shell Sort,3.4999975468963385e-06,4753000
97,Shell Sort,4.499976057559252e-06,4851000
98,Shell Sort,4.4000043999403715e-06,4950000
99,Shell Sort,4.999979864805937e-06,5050000
