,Algoritmo,tempoExecucao,Tamanho Vetor
0,Bubble Sort sem melhorias,0.03342200000042794,1000
1,Bubble Sort sem melhorias,0.4809778000017104,3000
2,Bubble Sort sem melhorias,1.7729871999981697,6000
3,Bubble Sort sem melhorias,4.9317706000001635,10000
4,Bubble Sort sem melhorias,9.426906400000007,15000
5,Bubble Sort sem melhorias,18.805287999999564,21000
6,Bubble Sort sem melhorias,34.33940380000058,28000
7,Bubble Sort sem melhorias,58.25655129999723,36000
8,Bubble Sort sem melhorias,84.80513600000268,45000
9,Bubble Sort sem melhorias,184.64534770000319,55000
