,Algoritmo,tempoExecucao,Tamanho Vetor
0,Shell Sort Teorema 2,0.0013658000000305037,1000
1,Shell Sort Teorema 2,0.005289400000037858,3000
2,Shell Sort Teorema 2,0.008710199999995893,6000
3,Shell Sort Teorema 2,0.011369699999931981,10000
4,Shell Sort Teorema 2,0.013138100000105624,15000
5,Shell Sort Teorema 2,0.025944299999991927,21000
6,Shell Sort Teorema 2,0.030916199999865057,28000
7,Shell Sort Teorema 2,0.05002479999984644,36000
8,Shell Sort Teorema 2,0.04668650000007801,45000
9,Shell Sort Teorema 2,0.057594200000039564,55000
