,Algoritmo,tempoExecucao,Tamanho Vetor
0,sortLinux,0.00046869998914189637,1000
1,sortLinux,0.0013027999957557768,3000
2,sortLinux,0.002814000006765127,6000
3,sortLinux,0.0041702000016812235,10000
4,sortLinux,0.004863599984673783,15000
5,sortLinux,0.00794589999713935,21000
6,sortLinux,0.006831600010627881,28000
7,sortLinux,0.01022610001382418,36000
8,sortLinux,0.014017999987117946,45000
9,sortLinux,0.016881099989404902,55000
10,sortLinux,0.02417520000017248,66000
11,sortLinux,0.027627099974779412,78000
12,sortLinux,0.03459090000251308,91000
13,sortLinux,0.04075909999664873,105000
14,sortLinux,0.044370600022375584,120000
15,sortLinux,0.05225740000605583,136000
16,sortLinux,0.0507907000137493,153000
17,sortLinux,0.05814080001437105,171000
18,sortLinux,0.07289640000090003,190000
19,sortLinux,0.0801692999957595,210000
20,sortLinux,0.12145959999179468,231000
21,sortLinux,0.09113889999571256,253000
22,sortLinux,0.12123789999168366,276000
23,sortLinux,0.1319645999756176,300000
24,sortLinux,0.14292670000577345,325000
25,sortLinux,0.15512089998810552,351000
26,sortLinux,0.1649489999981597,378000
27,sortLinux,0.16143509998801164,406000
28,sortLinux,0.16733840000233613,435000
29,sortLinux,0.20238219999009743,465000
30,sortLinux,0.21405110001796857,496000
31,sortLinux,0.22075159999076277,528000
32,sortLinux,0.2599712999945041,561000
33,sortLinux,0.26887910001096316,595000
34,sortLinux,0.28794989999732934,630000
35,sortLinux,0.2711057999986224,666000
36,sortLinux,0.30606919998535886,703000
37,sortLinux,0.31909609999274835,741000
38,sortLinux,0.3696623999858275,780000
39,sortLinux,0.398373600008199,820000
40,sortLinux,0.3887250999978278,861000
41,sortLinux,0.38615889998618513,903000
42,sortLinux,0.4333440999907907,946000
43,sortLinux,0.4603967000148259,990000
44,sortLinux,0.47158329997910187,1035000
45,sortLinux,0.47838359998422675,1081000
46,sortLinux,0.5470210000057705,1128000
47,sortLinux,0.532091799977934,1176000
48,sortLinux,0.5895474999852013,1225000
49,sortLinux,0.5968873999954667,1275000
