,Algoritmo,tempoExecucao,Tamanho Vetor
0,sortLinux,6.999995093792677e-06,1000
1,sortLinux,1.7399986973032355e-05,3000
2,sortLinux,3.139997716061771e-05,6000
3,sortLinux,5.2499992307275534e-05,10000
4,sortLinux,7.199999527074397e-05,15000
5,sortLinux,0.00042359999497421086,21000
6,sortLinux,0.0001537000061944127,28000
7,sortLinux,0.00024510000366717577,36000
8,sortLinux,0.0003859999997075647,45000
9,sortLinux,0.0004610000178217888,55000
10,sortLinux,0.0003614999877754599,66000
11,sortLinux,0.0003685999836307019,78000
12,sortLinux,0.0022287000028882176,91000
13,sortLinux,0.0005275000003166497,105000
14,sortLinux,0.0010901000059675425,120000
15,sortLinux,0.0009629999985918403,136000
16,sortLinux,0.0007685000018682331,153000
17,sortLinux,0.0008425999840255827,171000
18,sortLinux,0.0009538999875076115,190000
19,sortLinux,0.0010501999931875616,210000
20,sortLinux,0.0011508000025060028,231000
21,sortLinux,0.0016175000055227429,253000
22,sortLinux,0.0022595000045839697,276000
23,sortLinux,0.0017670000088401139,300000
24,sortLinux,0.00173049999284558,325000
25,sortLinux,0.0017316000012215227,351000
26,sortLinux,0.0018313999753445387,378000
27,sortLinux,0.004172499990090728,406000
28,sortLinux,0.004433099995367229,435000
29,sortLinux,0.0034184999822173268,465000
30,sortLinux,0.002844100003130734,496000
31,sortLinux,0.0029121999978087842,528000
32,sortLinux,0.006083599990233779,561000
33,sortLinux,0.0033799000084400177,595000
34,sortLinux,0.0035499999939929694,630000
35,sortLinux,0.004090000002179295,666000
36,sortLinux,0.0047577000223100185,703000
37,sortLinux,0.004144800011999905,741000
38,sortLinux,0.007712799997534603,780000
39,sortLinux,0.004706200008513406,820000
40,sortLinux,0.004898700019111857,861000
41,sortLinux,0.004496100009419024,903000
42,sortLinux,0.008510899991961196,946000
43,sortLinux,0.005782200023531914,990000
44,sortLinux,0.008442899998044595,1035000
45,sortLinux,0.005966699973214418,1081000
46,sortLinux,0.00646129998494871,1128000
47,sortLinux,0.008845499978633597,1176000
48,sortLinux,0.0067282000090926886,1225000
49,sortLinux,0.010391699994215742,1275000
50,sortLinux,0.010713199997553602,1326000
51,sortLinux,0.009448600001633167,1378000
52,sortLinux,0.010224700003163889,1431000
53,sortLinux,0.012562099989736453,1485000
54,sortLinux,0.009000300022307783,1540000
55,sortLinux,0.010689999995520338,1596000
56,sortLinux,0.010961099993437529,1653000
57,sortLinux,0.011823600012576208,1711000
58,sortLinux,0.010494100017240271,1770000
59,sortLinux,0.010547899990342557,1830000
60,sortLinux,0.010224700003163889,1891000
61,sortLinux,0.01162159998784773,1953000
62,sortLinux,0.013245999987702817,2016000
63,sortLinux,0.01358640001853928,2080000
64,sortLinux,0.01459079998312518,2145000
65,sortLinux,0.013197600026614964,2211000
66,sortLinux,0.013374899979680777,2278000
67,sortLinux,0.01510499999858439,2346000
68,sortLinux,0.015591600007610396,2415000
69,sortLinux,0.015187299984972924,2485000
70,sortLinux,0.016431299998657778,2556000
71,sortLinux,0.016386199975386262,2628000
72,sortLinux,0.01732579999952577,2701000
73,sortLinux,0.017692599998554215,2775000
74,sortLinux,0.017978400021092966,2850000
75,sortLinux,0.01777649999712594,2926000
76,sortLinux,0.01815099999657832,3003000
77,sortLinux,0.02182400002493523,3081000
78,sortLinux,0.023861800000304356,3160000
79,sortLinux,0.026004799990914762,3240000
80,sortLinux,0.0196682000241708,3321000
81,sortLinux,0.025497999973595142,3403000
82,sortLinux,0.0182280000008177,3486000
83,sortLinux,0.030620000005001202,3570000
84,sortLinux,0.02524349998566322,3655000
85,sortLinux,0.028337499999906868,3741000
86,sortLinux,0.025644700013799593,3828000
87,sortLinux,0.023400699981721118,3916000
88,sortLinux,0.025246899982448667,4005000
89,sortLinux,0.027321599976858124,4095000
90,sortLinux,0.022101799986558035,4186000
91,sortLinux,0.02746770001249388,4278000
92,sortLinux,0.02570130000822246,4371000
93,sortLinux,0.024607400002423674,4465000
94,sortLinux,0.028077599999960512,4560000
95,sortLinux,0.02757140001631342,4656000
96,sortLinux,0.028877700009616092,4753000
97,sortLinux,0.04091549999429844,4851000
98,sortLinux,0.034669000015128404,4950000
99,sortLinux,0.03620870001032017,5050000
100,sortLinux,0.04082719999132678,5151000
101,sortLinux,0.04104949999600649,5253000
102,sortLinux,0.03439869999419898,5356000
103,sortLinux,0.029019199981121346,5460000
