,Algoritmo,tempoExecucao,Tamanho Vetor
0,Shell Sort Teorema 1,0.0010568000000148459,1000
1,Shell Sort Teorema 1,0.003967600000009952,3000
2,Shell Sort Teorema 1,0.006133999999974549,6000
3,Shell Sort Teorema 1,0.007414199999971061,10000
4,Shell Sort Teorema 1,0.012818599999945945,15000
5,Shell Sort Teorema 1,0.016749699999991208,21000
6,Shell Sort Teorema 1,0.027753200000006473,28000
7,Shell Sort Teorema 1,0.03995429999997668,36000
8,Shell Sort Teorema 1,0.04039569999997639,45000
9,Shell Sort Teorema 1,0.03538289999994504,55000
