,Algoritmo,tempoExecucao,Tamanho Vetor
0,Shell Sort Teorema 2,0.000784900039434433,1000
1,Shell Sort Teorema 2,0.002445999998599291,3000
2,Shell Sort Teorema 2,0.004358100006356835,6000
3,Shell Sort Teorema 2,0.005999600049108267,10000
4,Shell Sort Teorema 2,0.007755199912935495,15000
5,Shell Sort Teorema 2,0.015494999941438437,21000
6,Shell Sort Teorema 2,0.02829109993763268,28000
7,Shell Sort Teorema 2,0.024659000104293227,36000
8,Shell Sort Teorema 2,0.03190090018324554,45000
9,Shell Sort Teorema 2,0.03840849990956485,55000
