,Algoritmo,tempoExecucao,Tamanho Vetor
0,TimSort (Python),0.00013589998707175255,1000
1,TimSort (Python),0.0005079000256955624,3000
2,TimSort (Python),0.0006547998636960983,6000
3,TimSort (Python),0.0017366001848131418,10000
4,TimSort (Python),0.0016355998814105988,15000
5,TimSort (Python),0.0023210998624563217,21000
6,TimSort (Python),0.0036416000220924616,28000
7,TimSort (Python),0.004502299940213561,36000
8,TimSort (Python),0.006758200004696846,45000
9,TimSort (Python),0.007952599786221981,55000
