,Algoritmo,tempoExecucao,Tamanho Vetor
0,Tim Sort (Python),7.990002632141113e-05,1000
1,Tim Sort (Python),0.0003125999355688691,3000
2,Tim Sort (Python),0.0005358000053092837,6000
3,Tim Sort (Python),0.0009679000359028578,10000
4,Tim Sort (Python),0.0018337999936193228,15000
5,Tim Sort (Python),0.0024933000095188618,21000
6,Tim Sort (Python),0.003987099975347519,28000
7,Tim Sort (Python),0.004740500007756054,36000
8,Tim Sort (Python),0.005826000007800758,45000
9,Tim Sort (Python),0.009063900099135935,55000
