,Algoritmo,tempoExecucao,Tamanho Vetor
0,Tim Sort (Python),3.8000289350748062e-06,1000
1,Tim Sort (Python),7.3999399319291115e-06,3000
2,Tim Sort (Python),1.3699987903237343e-05,6000
3,Tim Sort (Python),5.1999930292367935e-05,10000
4,Tim Sort (Python),6.0999998822808266e-05,15000
5,Tim Sort (Python),8.539995178580284e-05,21000
6,Tim Sort (Python),6.92000612616539e-05,28000
7,Tim Sort (Python),9.479990694671869e-05,36000
8,Tim Sort (Python),0.00011020002420991659,45000
9,Tim Sort (Python),0.0001495999749749899,55000
