,Algoritmo,tempoExecucao,Tamanho Vetor
0,Tim Sort (Python),3.400025889277458e-06,1000
1,Tim Sort (Python),8.00006091594696e-06,3000
2,Tim Sort (Python),1.6400008462369442e-05,6000
3,Tim Sort (Python),2.789997961372137e-05,10000
4,Tim Sort (Python),4.6600005589425564e-05,15000
5,Tim Sort (Python),7.309997454285622e-05,21000
6,Tim Sort (Python),9.999994654208422e-05,28000
7,Tim Sort (Python),0.00013839988969266415,36000
8,Tim Sort (Python),0.00037290004547685385,45000
9,Tim Sort (Python),0.00036860001273453236,55000
