,Algoritmo,tempoExecucao,Tamanho Vetor
0,Shell Sort Teorema 2,0.000719199999821285,1000
1,Shell Sort Teorema 2,0.0019658999999592197,3000
2,Shell Sort Teorema 2,0.0040688999999929365,6000
3,Shell Sort Teorema 2,0.008379300000115109,10000
4,Shell Sort Teorema 2,0.010316799999827708,15000
5,Shell Sort Teorema 2,0.019883399999798712,21000
6,Shell Sort Teorema 2,0.027968300000111412,28000
7,Shell Sort Teorema 2,0.026404500000126063,36000
8,Shell Sort Teorema 2,0.03465619999997216,45000
9,Shell Sort Teorema 2,0.04306310000015401,55000
